I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
2099	Tsu	1865	10	8	20	46			 6.3				6.3			8	USA	CA	CALIFORNIA:  SANTA CRUZ	  37.200	 -121.900	150							        .500	1		2									        .500	1		2		
6565	Tsu	1866	9	5	13	0	    										USA	AK	ALASKA:  KODIAK ISLAND, AK	  58.000	 -152.000	150																								
2125	Tsu	1868	4	3	2	24			 7.9					7.9		10	USA	HI	HAWAII:  SE OF	  19.000	 -155.500	150	      31	1						1	46	1			      77	2						2		3		
6156	Tsu	1868	5	15			    										USA	AK	ALASKA PENINSULA	  55.000	 -161.000	150																								
2148	Tsu	1868	10	21	15	53	    		 6.8				6.8			9	USA	CA	CALIFORNIA:  HAYWARD,SAN FRANCISCO	  37.700	 -122.100	150	      30	1					        .350	1		2			      30	1					        .350	1		3		
10019	Tsu	1869	2	10	11	50											USA	CA	CALIFORNIA:  SAN FRANCISCO	  37.783	 -122.417	150																								
10020	Tsu	1869	2	13	11	30											USA	CA	CALIFORNIA:  SAN FRANCISCO	  37.783	 -122.417	150																								
6937	Tsu	1871	2	20	8	41			 7.0		 7.0						USA	HI	HAWAIIAN ISLANDS	  20.700	 -157.000	150								2				2								2				2
2180		1871	3	2	21	5			 5.9				5.9			7	USA	CA	CALIFORNIA:  HUMBOLDT COUNTY	  40.400	 -124.200	150								1												1				
6515	Tsu	1871	6	18	0	0	    										USA	NY	NEW YORK:  LONG ISLAND	  40.500	  -73.900	150																								
2195	Tsu	1872	3	26	10	30			 7.8	 7.8			7.3			10	USA	CA	CALIFORNIA:  OWENS VALLEY	  36.700	 -118.100	150	      27	1			        56	2	        .250	1	52	2			      27	1			56	2	        .250	1	52	2		
6176	Tsu	1872	8	23	18	6											USA	AK	ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS	  52.200	 -168.500	150																								
6177		1872	11	18			    										USA	NH	NEW HAMPSHIRE: CONCORD	  43.200	  -71.530	150																								
6179	Tsu	1873	11	23	5	9			 6.7				6.7			8	USA	CA	CALIFORNIA:  NORTHERN	  42.000	 -124.000	150								1												1				
10023	Tsu	1877	2	24													USA	HI	HAWAII			150																								
6306	Tsu	1878	1	20													USA	AK	ALASKA:  ALEUTIAN ISLANDS			150																								
6198	Tsu	1878	8	29			    										USA	AK	ALASKA:  EAST ALEUTIAN ISLANDS	  53.600	 -166.400	150																								
8118	Tsu	1879	8	10	21	7											USA	CA	CALIFORNIA:  SAN FERNANDO	  34.227	 -118.433	150																								
6199	Tsu	1880	9	29	4	0	    										USA	AK	ALASKA PENINSULA	  55.800	 -155.600	150																								
6200	Tsu	1880	10	26	22	20	    		 7.0		 7.0						USA	AK	ALASKA:  SOUTHEASTERN	  57.000	 -136.000	150																								
6516	Tsu	1884	8	10	19	7			 5.5					5.5		7	USA	NY	NEW YORK: ROCKAWAY BEACH, NEAR NEW YORK CITY	  40.600	  -73.750	150																								
7037	Tsu	1884	12	21													USA	CT	CONNECTICUT: NEW HAVEN	  41.310	  -72.920	150																								
