"m","value"
12,-1.65862374320946
12,-1.3950591322644
12,-1.4698611385685
12,-3.25789087652211
12,-5.52250166638634
12,-1.39662338139893
12,-2.51368426662853
12,-2.04703131705914
12,-10.7113016919805
12,-2.31363057846508
12,-3.30641245084243
12,-10.3870356691038
12,-9.10639194685735
12,-1.68377272151531
12,-11.1083264714968
12,-1.54633832445109
12,-1.3928475587466
12,-2.05244052108102
13,-1.80395651194719
13,-3.36648581001925
13,-1.93908543442127
13,-1.68830034618283
13,-3.26029631109549
13,-2.24047894767094
13,-6.5120252032367
13,-1.48448196489271
13,-10.8508993088612
13,-1.94896430723836
13,-3.41655728647765
13,-1.6650221082511
13,-1.66935705535507
13,-2.53894473632147
13,-1.42832990699333
13,-1.67411734046334
13,-2.24812043245265
13,-1.44924519360569
13,-1.98608151363865
13,-3.65663734364739
13,-1.36061149402274
13,-12.2928994079378
13,-2.17600752298577
13,-2.22031333550556
13,-1.45068526477256
13,-1.3413197555987
13,-1.6387209830455
13,-1.56291944087861
13,-5.52250171510466
13,-1.92904608165957
13,-1.73838780466656
13,-1.3943663257602
13,-1.33474361182193
13,-5.52250166764678
13,-1.5735206679343
13,-1.56237999829533
13,-1.85965530264709
13,-11.1561734294631
13,-1.64316209055681
13,-5.52250166650523
13,-1.32349652745857
13,-5.52250166638033
13,-2.58752081227678
13,-3.44186547946867
13,-1.68904604121714
13,-10.2588995711054
13,-10.6510223208668
13,-1.58366521302367
14,-1.45082711548588
14,-1.5741665714085
14,-1.67054930000417
14,-6.53193591676564
14,-1.71748223981403
14,-1.67891102213765
14,-10.9912011394399
14,-2.74772051966256
14,-1.46513647647691
14,-1.44705914934763
14,-1.46749322766729
14,-1.37994423475575
14,-4.47215832676095
14,-1.46655977959734
14,-1.43834036119428
14,-1.68873786557632
14,-6.9269254770282
14,-10.7191491980472
14,-2.526219165048
14,-1.5022958816092
14,-1.55133693398341
14,-1.47190961688295
14,-1.53514283269873
14,-5.77039659377164
14,-1.45638464086669
14,-1.50417981429206
14,-1.47363052123809
14,-1.65094673699982
14,-1.56006602051901
14,-1.91332277140576
14,-1.41829504111242
14,-2.71552472550988
14,-3.21226389305654
14,-1.96568794584798
14,-1.83987080422193
14,-5.5225016664851
14,-6.88216933519297
14,-1.5355696148856
14,-2.09815183259302
14,-1.9535684192312
14,-2.312814070984
14,-1.71644495728057
14,-1.48078130125235
14,-1.83331292760721
14,-1.75226588135685
14,-1.43847958620989
14,-1.66757799037741
14,-1.39028987141659
14,-1.47174816449327
15,-1.3434284444056
15,-1.81223235195875
15,-1.62561036203209
15,-2.03898807898013
15,-1.30096515551937
15,-3.16989528510403
15,-5.52250166724549
15,-2.29387673126713
15,-2.04360118737969
15,-7.46816756025663
15,-5.52250166637385
15,-1.35397732814963
15,-1.81473354440072
15,-1.28476219249252
15,-8.21861295268504
15,-1.5547394085936
15,-1.8223522525914
15,-13.3160450110336
15,-1.78205057636107
15,-1.51271018565658
15,-1.54181644889153
15,-1.89618675728235
15,-1.52324317000574
15,-1.88754886215246
15,-2.35684962316899
15,-2.1177831375173
15,-1.55498639446776
15,-1.99344436800561
15,-1.60504483465555
15,-1.56732426884851
15,-1.68515612150677
15,-1.37219008548529
15,-11.1295837004095
15,-5.52250166637205
15,-3.20519645940278
15,-9.95308064043823
15,-1.54211340375097
15,-1.38938667722431
15,-5.52250166638879
15,-3.23781543086524
15,-1.55149039697903
15,-1.93266321558501
15,-1.30356145400368
15,-3.39986403742958
15,-1.75128478975585
15,-5.52250166637806
15,-1.48346721187983
15,-5.5225016663685
15,-1.51087670872222
16,-1.34417948269658
16,-1.83200093588422
16,-1.69305328760594
16,-1.65976852008398
16,-1.36299797758339
16,-2.102546798036
16,-1.32133649821132
16,-1.47549360312175
16,-1.45602654787303
16,-2.15035017660158
16,-5.5225016665738
16,-1.52489154400194
16,-12.010165727461
16,-1.32100003683428
16,-1.34366414039571
16,-1.90204446426406
16,-1.36615500292715
16,-1.27520289879999
16,-1.47468705138421
16,-1.53568335789247
16,-1.73303157263385
16,-2.27043763792844
16,-1.7010243379236
16,-1.63870767731661
16,-1.61634490470227
16,-3.52989881399562
16,-2.62226288229641
16,-9.09448032154781
16,-1.3398109532273
16,-1.29604893237953
16,-1.40119154775378
16,-1.57289275238031
16,-2.32082640961168
16,-2.29488446698263
16,-6.92130482140542
16,-11.1170492511531
16,-1.41413947814019
16,-1.59722833118105
16,-2.16365384102857
16,-1.64814661050155
16,-2.12377256080686
16,-1.31067596295561
16,-13.1808343717976
16,-1.42573309951535
16,-1.44260044272066
16,-1.86110160118069
16,-10.9430873679316
17,-2.1068738195607
17,-1.46149642130302
17,-1.91464493477814
17,-1.2752764603882
17,-1.89017612303502
17,-2.1706907243426
17,-1.57246907089424
17,-2.2511630563683
17,-1.46339260031734
17,-5.52250166641901
17,-2.54604003799477
17,-1.28666464933145
17,-1.52410757255597
17,-1.49114077808857
17,-2.67416991267974
17,-2.73901568235261
17,-1.49320653176033
17,-1.4835672567244
17,-1.5191945191772
17,-1.42475069266252
17,-1.33630069008724
17,-1.94853671869415
17,-1.41945557645088
17,-1.69464047165729
17,-1.46109781626582
17,-1.60448329752242
17,-2.16054321331055
17,-1.60384927957507
17,-1.37596851764246
17,-1.28334814090154
17,-1.30573418496226
17,-1.43309055158891
17,-1.54509077914379
17,-1.42799387161406
17,-10.8238466470009
17,-1.9240047511206
17,-1.43556898848143
17,-1.91843980377019
17,-3.94856904176431
17,-2.06728750084813
17,-1.77362773428307
17,-1.3646336417069
17,-1.81580294222346
17,-2.58934757021357
17,-2.21863285848496
18,-1.65109837612763
18,-2.13202625179994
18,-1.45959286625421
18,-1.3590642727399
18,-1.43881107479196
18,-1.26931205528819
18,-1.60886329846952
18,-1.76975257440368
18,-1.4573230035844
18,-1.80222146367479
18,-1.59496446203244
18,-1.35019784620007
18,-1.51031902643058
18,-1.39708000686587
18,-1.46569796295998
18,-4.33976671045206
18,-1.27268788017135
18,-1.37685161462452
18,-1.8360354994327
18,-1.75926717197613
18,-1.56589238367052
18,-2.03395349709654
18,-1.54543384333698
18,-1.30602179021997
18,-1.54058097897085
18,-1.45683275276068
18,-1.73550775496544
18,-2.8864253930102
18,-1.54693076044846
18,-1.46574088116153
18,-3.82957015220093
18,-1.44916455136541
18,-1.44147115083074
18,-1.42532448238426
18,-2.61795033732182
18,-1.94800541425008
18,-2.48117702183825
18,-1.80739169448936
18,-5.52250166638549
18,-1.8228142604582
18,-1.37639913813727
18,-1.41915217391607
18,-1.40635980974708
18,-1.35852765148599
18,-1.28790685355394
18,-3.281430842614
18,-2.12023641779391
18,-1.43151445259737
18,-2.78517143719736
19,-1.65331451039726
19,-1.32380530517371
19,-1.39838253747968
19,-1.52454401831116
19,-2.11497842194746
19,-2.21752241291183
19,-3.60491999851219
19,-1.6137551183711
19,-1.56575762299366
19,-1.63244162119618
19,-1.4437108505293
19,-2.38910766562081
19,-1.36842587785172
19,-2.04450948766194
19,-1.66360103136803
19,-1.3760435888976
19,-1.83966554231064
19,-1.7885055715923
19,-1.53666826309403
19,-1.47054462727523
19,-1.65422571206304
19,-1.35171940953162
19,-1.42101554093709
19,-1.89247318322305
19,-1.37127889770288
19,-1.26232524824267
19,-1.418878581722
19,-1.56402686219219
19,-1.72140811360424
19,-1.73700010863716
19,-1.51502749950117
19,-1.62159562927728
19,-1.51177452199607
19,-2.11095317414615
19,-1.27281210879783
19,-9.08891238539366
19,-2.24954120670768
19,-1.71717689647891
19,-1.3943948833753
19,-1.4839529849229
19,-2.28142177253435
19,-1.52803049229119
19,-1.65340094817554
19,-1.34622598893372
19,-1.57311725911324
19,-1.65437462504069
19,-1.62501479054507
19,-1.45808088746884
20,-1.34764407756232
20,-1.3472501164547
20,-1.33440458579796
20,-1.41626812054447
20,-1.3905701654452
20,-1.3340518015989
20,-2.95686768463851
20,-1.47016306066164
20,-1.64534930995218
20,-1.34025862628843
20,-1.47830118716838
20,-1.37518431257968
20,-1.50416820136859
20,-1.4446166381667
20,-1.31045534883436
20,-1.52045409227753
20,-1.56938563642127
20,-1.64032984701218
20,-1.94101309156581
20,-1.45031214157487
20,-1.57047550247033
20,-1.37729720290573
20,-1.56773162275459
20,-1.28254111646712
20,-2.47991366242951
20,-1.3376971202791
20,-1.50427418397884
20,-1.35641829082914
20,-1.44571231996632
20,-1.45574270179947
20,-1.31660597614338
20,-1.66284826266296
20,-1.49495075762085
20,-1.26467996412252
20,-1.42701344324085
20,-2.61916465633035
20,-1.60602910693252
20,-1.54040624491631
20,-1.42555689064242
20,-1.30689897523956
20,-1.65130884222156
20,-2.29590722664686
20,-1.32597207243204
20,-1.41504446820183
20,-1.27944771104106
20,-1.85802903932522
20,-1.91794376538976
20,-1.44430806614758
20,-1.86184597680763
21,-2.05632065044676
21,-1.30425043619404
21,-1.28165215935891
21,-1.62280015606266
21,-1.39582574359303
21,-1.32662174891439
21,-1.33781752695247
21,-1.46381299268761
21,-2.35142094473168
21,-1.49665127584875
21,-1.66552480284688
21,-1.34365727411603
21,-1.43577730633468
21,-1.38795899998405
21,-1.44111094005394
21,-1.37720383564329
21,-1.35667845328839
21,-1.43308647706131
21,-2.22883803091168
21,-1.92067353470444
21,-1.33749824886951
21,-1.35505145871897
21,-1.65634627633928
21,-3.35648247383634
21,-1.27684602310554
21,-1.84764226820411
21,-1.31535485444904
21,-2.57217251876258
21,-1.28118907143336
21,-1.3306442210411
21,-1.61843462815652
21,-1.36653351159294
21,-1.33664023085588
21,-1.77195300486757
21,-1.29109417574552
21,-1.51573382923886
21,-1.51102630694413
21,-1.41010590022486
21,-1.4597186711501
21,-1.55501277075914
21,-1.44043036965902
21,-1.42088358495998
21,-1.31062184695054
21,-1.42461540978695
21,-1.49229596475507
21,-1.36953537347472
21,-1.41703128205265
21,-1.44455529872048
22,-1.64422389665013
22,-1.44765376587248
22,-1.4808509292087
22,-1.63368286880625
22,-2.01835488829211
22,-1.40942427847148
22,-3.34061380800459
22,-1.60710675612517
22,-1.33204743985107
22,-1.82319237535378
22,-1.53748314983492
22,-1.6870736942086
22,-1.40497265931192
22,-1.77482433025588
22,-1.30094571995717
22,-1.68120069232498
22,-1.39905380633569
22,-1.36823645906109
22,-1.51491094139234
22,-1.54827501397046
22,-1.45576760765169
22,-1.28953865460937
22,-1.50439838084157
22,-1.85117923937444
22,-1.5167105505374
22,-2.2649454907014
22,-1.51323960988206
22,-1.56317059730146
22,-1.65985792801075
22,-1.38237615347368
22,-1.27488803824005
22,-2.56787271333232
22,-1.57443365460275
22,-1.44800592693024
22,-3.10577321178019
22,-1.85705546696174
22,-1.46112842779105
22,-1.66394176565867
22,-1.32534848383801
22,-1.38392334237679
22,-2.08926021336083
22,-1.8838398710715
22,-1.65377303909485
22,-3.09244534996216
22,-1.38872743458079
22,-1.58913913229265
23,-1.65811464951576
23,-1.7508309597539
23,-1.55844095421381
23,-2.3947442203185
23,-1.63906439086456
23,-1.47840461582703
23,-1.31799374929646
23,-1.41734741696993
23,-1.53889600553437
23,-1.65373341763576
23,-1.92094820538316
23,-1.47444953840989
23,-1.66198768785196
23,-1.56414086279924
23,-1.70936641141436
23,-1.93987975034286
23,-2.81428529677306
23,-1.32096449165003
23,-1.33351576582022
23,-1.37211819461685
23,-1.46077772361678
23,-2.53960088710909
23,-1.35061435521686
23,-1.60720698611819
23,-1.52578005961904
23,-1.32035100416731
23,-1.81068369039682
23,-5.52250166640903
23,-1.71021895916031
23,-1.91964553933562
23,-1.28762052718734
23,-1.41012537195992
23,-1.32231436502615
23,-1.48350506137602
23,-1.3454073268768
23,-9.17580154781074
23,-1.53138483523924
23,-1.44127302320799
23,-1.53463771632417
23,-1.28656882353211
23,-1.49499295292425
23,-1.50800178168606
23,-1.48360811780651
23,-1.47178450016807
23,-1.41741516448156
23,-1.44334587166682
23,-1.29664588155379
23,-2.50990222500545
24,-1.33116921468738
24,-1.39633611582344
24,-1.8366392327811
24,-2.10453439074496
24,-1.72277503420079
24,-1.36826379848824
24,-1.3993339998228
24,-1.47432183627028
24,-1.45722249419915
24,-1.60342834546852
24,-1.30165156660493
24,-1.36619857505498
24,-1.32580314262084
24,-1.33359923146668
24,-1.34521534273243
24,-1.55477030015774
24,-1.5272427101394
24,-1.79650358077429
24,-1.53947073948802
24,-1.42966772596394
24,-1.54624391645617
24,-1.63316885211894
24,-1.57647712512317
24,-3.03899210779355
24,-1.3219445153667
24,-1.85468461993334
24,-1.31138791255134
24,-1.59462146943289
24,-1.38219507970911
24,-1.28730247098888
24,-1.67941021611658
24,-1.74437871770696
24,-2.1611790881999
24,-1.29330825866219
24,-1.63837461325979
24,-1.32941786250256
24,-1.83791921457205
24,-1.52671754169201
24,-1.57569058243795
24,-1.33087425217005
24,-1.42361419748495
24,-1.36772147984012
24,-1.49553224812163
24,-1.79742860025287
24,-1.82433673451567
24,-1.34990430873295
24,-1.53148536773526
24,-1.56272430109659
25,-1.4127546913976
25,-1.3124149165665
25,-1.36902605559974
25,-1.41580771968188
25,-5.52250166637519
25,-1.37918006955898
25,-1.35456639103406
25,-2.6567618989276
25,-1.45221168370751
25,-1.44793804616231
25,-1.29449148318477
25,-1.43566706153646
25,-1.37241434108654
25,-1.41708083009567
25,-1.43622112080085
25,-1.4750828700134
25,-1.59589251382054
25,-1.73832897687049
25,-2.06511844036125
25,-1.40164199690607
25,-1.29214037758691
25,-1.67474755085306
25,-1.35072901608084
25,-1.39114695745689
25,-1.58103899354628
25,-2.13396165458939
25,-2.15420065967056
25,-1.358862442022
25,-1.44416910126904
25,-1.52690078131931
25,-1.27380626524227
25,-1.28174833645599
25,-1.79432285400976
25,-1.31997042368264
25,-1.28289433755296
25,-1.30589680611621
25,-1.54307359356963
25,-1.43114020052164
25,-1.67284761045461
25,-2.37919297952524
25,-1.28142844109044
25,-2.29097327420971
25,-1.40665634432344
25,-1.76184838529984
25,-1.62543587869546
25,-1.49262004360719
26,-1.32985881924544
26,-1.43975058693799
26,-1.38809140758212
26,-2.19380843169779
26,-1.774760826463
26,-1.31269274330549
26,-2.1650614232164
26,-1.78927169210851
26,-1.4654530110312
26,-1.72359321296089
26,-1.33247154598826
26,-1.36007229010239
26,-1.79770514023598
26,-1.43717572978907
26,-1.68317770578418
26,-1.47180706904494
26,-1.40016985381991
26,-1.78127148242872
26,-1.43781292258798
26,-1.49622288066692
26,-1.31458519929471
26,-1.46617952210092
26,-1.35273365480013
26,-1.38205573646122
26,-1.30372043257546
26,-1.33604422335891
26,-1.44853663980922
26,-1.45117697970732
26,-1.65560341977406
26,-1.66974438736866
26,-1.34667032048147
26,-1.4814025098149
26,-1.28097471186852
26,-1.42290328199049
26,-2.27088494285526
26,-1.48327401811554
26,-1.34451574080717
26,-1.7476988979397
26,-1.66382906651258
26,-1.37418552842674
26,-1.46737996259797
26,-1.26722332743683
26,-2.21722837006156
26,-1.59736504844025
26,-1.34706948742145
27,-1.30052519356855
27,-1.42171790832513
27,-1.65026033825154
27,-1.44206728449852
27,-1.35451921741562
27,-1.37608082393472
27,-1.33612151868082
27,-1.36322303285196
27,-1.44543971758891
27,-1.40952740466152
27,-2.14811107894715
27,-1.38479133784595
27,-1.30525075629472
27,-1.69239991079951
27,-1.56377926528682
27,-1.34042961395644
27,-1.31276291102291
27,-1.55314118689075
27,-2.03624315551941
27,-1.28859229054587
27,-1.43927850647343
27,-1.8679037740548
27,-1.34821768576918
27,-1.49696128598179
27,-1.34664784088903
27,-1.74137443035728
27,-1.43461685098594
27,-1.51137217993163
27,-2.35568874093929
27,-1.38792288947134
27,-2.21982587968344
27,-1.51686453204022
27,-1.85342445711603
27,-1.40424324090254
27,-1.27503739442228
27,-1.36836483935139
27,-1.29267282531418
27,-1.40051051137966
27,-1.39175521655307
27,-1.31792534906553
27,-1.68810384086557
27,-2.28151416885943
27,-1.48651908692216
27,-2.62555558924927
28,-1.62026565820979
28,-1.46311688578767
28,-1.51467551139468
28,-1.30861225209102
28,-1.32175205468043
28,-1.38549896245911
28,-1.35193974928135
28,-1.35637565877511
28,-1.31464921441913
28,-1.34290168807848
28,-1.31263518294969
28,-1.28870615979065
28,-1.48339761015865
28,-1.46837027860071
28,-1.51233752094147
28,-1.41173033910851
28,-1.36361325230932
28,-1.27727027301548
28,-1.40592325614793
28,-1.31205012186315
28,-1.29021267065549
28,-1.28440858872945
28,-1.76399877634851
28,-1.59433365037744
28,-1.70921379919113
28,-1.52175721319443
28,-1.4079172848284
28,-1.38538710675412
28,-1.48065249083183
28,-1.27950510151222
28,-1.33039445998418
28,-2.7481465241499
28,-1.32028626816918
28,-1.60082187148943
28,-1.78430649417738
28,-1.34020938983162
28,-1.55079226481727
28,-1.30612660699882
28,-1.3673329380006
28,-1.38364200915535
28,-1.37237849592402
28,-1.62287389260241
28,-1.43203317903059
28,-1.31530319472418
28,-1.65405613229954
28,-1.32501612296393
28,-1.32103168414748
29,-1.68046597512907
29,-2.47425997621442
29,-1.28584941115447
29,-1.3056757383609
29,-1.33912633800477
29,-1.34930401012891
29,-1.97173540624132
29,-1.58032455250021
29,-1.58452727451357
29,-1.3882249456587
29,-2.1037622736594
29,-1.31584286819578
29,-1.31283337767748
29,-1.35839985738848
29,-1.42396186313199
29,-1.2842131162699
29,-1.28804662685545
29,-1.34118339812191
29,-1.27774094651617
29,-1.40767762004179
29,-1.3779583683301
29,-1.3034830095276
29,-1.29235754134239
29,-1.38207434352521
29,-1.36932762282786
29,-1.27835636117343
29,-1.29665057995789
29,-1.43824288269578
29,-1.35463473293446
29,-1.27583509210357
29,-1.53495648024723
29,-1.33550633201504
29,-1.56119485888554
29,-1.56651855065418
29,-1.34711240280273
29,-1.39210228808831
29,-1.39578028618085
29,-1.28188416072475
29,-1.27934275679076
29,-1.58521907410693
29,-1.2840404671384
29,-1.4550622675461
29,-1.40499787642788
29,-1.28029880886414
29,-1.60757288125437
29,-1.61871758111286
29,-1.46715758186642
29,-1.37173591238858
29,-1.83006660828451
30,-1.38671917397614
30,-1.38164082940537
30,-1.44956736986293
30,-1.76360724791191
30,-1.48291692676849
30,-1.56175313371607
30,-1.3027759868408
30,-1.43309564140405
30,-1.52055773849096
30,-1.43527873546538
30,-1.32639303040479
30,-1.32454813154274
30,-1.57194793616483
30,-1.73768329205412
