example_name,estimate_name,SpearmanR_all,SpearmanR_test,pick_auc_test,pick_KL_div_test,training_lists,test_lists,data_size,test_size,extra_info,score_name,p_continue,generative_noise_scale,scoring_noise_scale,run_i,rand_seed
uci wine example,"logistic differences, early stop=T",0.423870454020268,0.4164984576457673,0.7308406249999999,0.4037716276312876,100,2000,6497,6015,,quality,0.8,0.87,2.0,4,682143856
uci wine example,"logistic differences, early stop=F",0.4919466794755188,0.484365605552552,0.74167484375,0.4038469228166312,100,2000,6497,6015,,quality,0.8,0.87,2.0,4,682143856
uci wine example,logistic items,0.4703756856407782,0.4625143817154661,0.7377568125000002,0.402177301462902,100,2000,6497,6015,,quality,0.8,0.87,2.0,4,682143856
uci wine example,observed score,0.525405741181639,0.516799392546556,0.7396838125,0.3980892306722302,100,2000,6497,6015,,quality,0.8,0.87,2.0,4,682143856
uci wine example,Stan inspection model,0.3678520329003958,0.3663081361389007,0.6741296875,1.258607909280282,100,2000,6497,6018,"{""est_p_continue"": 0.79300273225}",quality,0.8,0.87,2.0,5,664543176
uci wine example,Stan list utility model,0.3809862461753393,0.3793177700791988,0.6782838750000001,1.1440060654514104,100,2000,6497,6018,,quality,0.8,0.87,2.0,5,664543176
uci wine example,Stan difference utility model,0.3760093278540848,0.3744418083749075,0.675958,1.215573101429149,100,2000,6497,6018,,quality,0.8,0.87,2.0,5,664543176
uci wine example,"logistic differences, early stop=T",0.299959833767304,0.2987944184301898,0.7121159062500001,0.4532012915367505,100,2000,6497,6018,,quality,0.8,0.87,2.0,5,664543176
uci wine example,"logistic differences, early stop=F",0.3698890501522334,0.3683265188511507,0.7174831875,0.4572528476427024,100,2000,6497,6018,,quality,0.8,0.87,2.0,5,664543176
uci wine example,logistic items,0.3770594174069596,0.3751769590555742,0.7250403125,0.4226804931843029,100,2000,6497,6018,,quality,0.8,0.87,2.0,5,664543176
uci wine example,observed score,0.5069179209179016,0.5050035488189716,0.73321171875,0.4006686406538377,100,2000,6497,6018,,quality,0.8,0.87,2.0,5,664543176
uci wine example,Stan inspection model,0.4116786083037246,0.409972591761688,0.68513028125,1.046590843810419,100,2000,6497,6016,"{""est_p_continue"": 0.753324741}",quality,0.8,0.87,2.0,6,1951374834
uci wine example,Stan list utility model,0.4361785452207104,0.4353735710017358,0.6929115937500001,0.8245745789797251,100,2000,6497,6016,,quality,0.8,0.87,2.0,6,1951374834
uci wine example,Stan difference utility model,0.4412529790364894,0.439991280991342,0.6911985937499999,0.949439535986904,100,2000,6497,6016,,quality,0.8,0.87,2.0,6,1951374834
uci wine example,"logistic differences, early stop=T",0.3236755407547463,0.3220693189007532,0.7092083125,0.4253648974082671,100,2000,6497,6016,,quality,0.8,0.87,2.0,6,1951374834
uci wine example,"logistic differences, early stop=F",0.4404430702543727,0.4389201247518142,0.72346159375,0.4072373474050193,100,2000,6497,6016,,quality,0.8,0.87,2.0,6,1951374834
uci wine example,logistic items,0.4239977932833093,0.4225598207926977,0.7211293437499999,0.4105453428920456,100,2000,6497,6016,,quality,0.8,0.87,2.0,6,1951374834
uci wine example,observed score,0.5198255893870268,0.5169419418946354,0.7241639999999999,0.4069850475938704,100,2000,6497,6016,,quality,0.8,0.87,2.0,6,1951374834
uci wine example,Stan inspection model,0.4120919141996054,0.4111021815483919,0.69152478125,0.9851562810053676,100,2000,6497,6015,"{""est_p_continue"": 0.727089522}",quality,0.8,0.87,2.0,7,1716840369
uci wine example,Stan list utility model,0.389811338591958,0.3890002563238616,0.6913561874999999,0.8378049816411227,100,2000,6497,6015,,quality,0.8,0.87,2.0,7,1716840369
uci wine example,Stan difference utility model,0.4001498077108024,0.3985221787709131,0.68752396875,0.9376994618814984,100,2000,6497,6015,,quality,0.8,0.87,2.0,7,1716840369
uci wine example,"logistic differences, early stop=T",0.2962057316283752,0.2951027215719589,0.70351096875,0.4231683857296816,100,2000,6497,6015,,quality,0.8,0.87,2.0,7,1716840369
uci wine example,"logistic differences, early stop=F",0.3960509235837808,0.3945887728544429,0.71693865625,0.4163182084236891,100,2000,6497,6015,,quality,0.8,0.87,2.0,7,1716840369
uci wine example,logistic items,0.3902114582707421,0.3909720551746987,0.7189749375000001,0.4104633233019134,100,2000,6497,6015,,quality,0.8,0.87,2.0,7,1716840369
