"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2018/11/01","00:00","5.265","-","5.39"
"2018/11/01","00:06","5.279","-","5.4"
"2018/11/01","00:12","5.289","-","5.42"
"2018/11/01","00:18","5.295","-","5.44"
"2018/11/01","00:24","5.297","-","5.43"
"2018/11/01","00:30","5.294","-","5.44"
"2018/11/01","00:36","5.287","-","5.44"
"2018/11/01","00:42","5.275","-","5.43"
"2018/11/01","00:48","5.258","-","5.41"
"2018/11/01","00:54","5.236","-","5.41"
"2018/11/01","01:00","5.209","-","5.35"
"2018/11/01","01:06","5.177","-","5.29"
"2018/11/01","01:12","5.14","-","5.27"
"2018/11/01","01:18","5.098","-","5.26"
"2018/11/01","01:24","5.051","-","5.22"
"2018/11/01","01:30","4.998","-","5.16"
"2018/11/01","01:36","4.94","-","5.12"
"2018/11/01","01:42","4.877","-","5.01"
"2018/11/01","01:48","4.81","-","4.92"
"2018/11/01","01:54","4.737","-","4.85"
"2018/11/01","02:00","4.659","-","4.77"
"2018/11/01","02:06","4.576","-","4.7"
"2018/11/01","02:12","4.489","-","4.63"
"2018/11/01","02:18","4.398","-","4.54"
"2018/11/01","02:24","4.303","-","4.44"
"2018/11/01","02:30","4.203","-","4.36"
"2018/11/01","02:36","4.1","-","4.29"
"2018/11/01","02:42","3.993","-","4.16"
"2018/11/01","02:48","3.883","-","3.99"
"2018/11/01","02:54","3.77","-","3.86"
"2018/11/01","03:00","3.654","-","3.75"
"2018/11/01","03:06","3.535","-","3.58"
"2018/11/01","03:12","3.415","-","3.46"
"2018/11/01","03:18","3.292","-","3.34"
"2018/11/01","03:24","3.168","-","3.23"
"2018/11/01","03:30","3.042","-","3.14"
"2018/11/01","03:36","2.916","-","3.01"
"2018/11/01","03:42","2.789","-","2.87"
"2018/11/01","03:48","2.661","-","2.69"
"2018/11/01","03:54","2.533","-","2.51"
"2018/11/01","04:00","2.406","-","2.39"
"2018/11/01","04:06","2.279","-","2.26"
