"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2017/03/01","00:00","2.257","-","2.37"
"2017/03/01","00:06","2.113","-","2.26"
"2017/03/01","00:12","1.971","-","2.11"
"2017/03/01","00:18","1.832","-","2.05"
"2017/03/01","00:24","1.696","-","2"
"2017/03/01","00:30","1.563","-","1.93"
"2017/03/01","00:36","1.434","-","1.8"
"2017/03/01","00:42","1.31","-","1.64"
"2017/03/01","00:48","1.19","-","1.51"
"2017/03/01","00:54","1.075","-","1.42"
"2017/03/01","01:00","0.966","-","1.32"
"2017/03/01","01:06","0.862","-","1.26"
"2017/03/01","01:12","0.764","-","1.13"
"2017/03/01","01:18","0.672","-","1.04"
"2017/03/01","01:24","0.587","-","1.02"
"2017/03/01","01:30","0.509","-","0.98"
"2017/03/01","01:36","0.437","-","0.94"
"2017/03/01","01:42","0.372","-","0.88"
"2017/03/01","01:48","0.314","-","0.84"
"2017/03/01","01:54","0.263","-","0.77"
"2017/03/01","02:00","0.22","-","0.72"
"2017/03/01","02:06","0.184","-","0.78"
"2017/03/01","02:12","0.155","-","0.75"
"2017/03/01","02:18","0.133","-","0.84"
"2017/03/01","02:24","0.118","-","0.82"
"2017/03/01","02:30","0.111","-","0.8"
"2017/03/01","02:36","0.11","-","0.8"
"2017/03/01","02:42","0.116","-","0.73"
"2017/03/01","02:48","0.129","-","0.69"
"2017/03/01","02:54","0.149","-","0.69"
"2017/03/01","03:00","0.175","-","0.74"
"2017/03/01","03:06","0.207","-","0.74"
"2017/03/01","03:12","0.245","-","0.74"
"2017/03/01","03:18","0.289","-","0.77"
"2017/03/01","03:24","0.339","-","0.77"
"2017/03/01","03:30","0.394","-","0.76"
"2017/03/01","03:36","0.455","-","0.79"
"2017/03/01","03:42","0.52","-","0.83"
"2017/03/01","03:48","0.591","-","0.89"
"2017/03/01","03:54","0.667","-","0.97"
"2017/03/01","04:00","0.747","-","1.02"
"2017/03/01","04:06","0.831","-","1.1"
"2017/03/01","04:12","0.92","-","1.18"
"2017/03/01","04:18","1.012","-","1.27"
"2017/03/01","04:24","1.109","-","1.37"
"2017/03/01","04:30","1.209","-","1.47"
"2017/03/01","04:36","1.312","-","1.52"
"2017/03/01","04:42","1.418","-","1.67"
"2017/03/01","04:48","1.528","-","1.78"
"2017/03/01","04:54","1.64","-","1.91"
"2017/03/01","05:00","1.755","-","2.01"
"2017/03/01","05:06","1.872","-","2.11"
"2017/03/01","05:12","1.991","-","2.2"
"2017/03/01","05:18","2.112","-","2.3"
"2017/03/01","05:24","2.234","-","2.39"
"2017/03/01","05:30","2.358","-","2.46"
"2017/03/01","05:36","2.483","-","2.57"
"2017/03/01","05:42","2.608","-","2.75"
"2017/03/01","05:48","2.734","-","2.87"
"2017/03/01","05:54","2.86","-","2.97"
"2017/03/01","06:00","2.986","-","3.06"
"2017/03/01","06:06","3.111","-","3.15"
"2017/03/01","06:12","3.236","-","3.3"
"2017/03/01","06:18","3.36","-","3.38"
"2017/03/01","06:24","3.483","-","3.46"
"2017/03/01","06:30","3.605","-","3.56"
"2017/03/01","06:36","3.725","-","3.62"
"2017/03/01","06:42","3.843","-","3.69"
"2017/03/01","06:48","3.96","-","3.79"
"2017/03/01","06:54","4.074","-","3.89"
"2017/03/01","07:00","4.185","-","4.04"
"2017/03/01","07:06","4.294","-","4.11"
"2017/03/01","07:12","4.401","-","4.24"
"2017/03/01","07:18","4.504","-","4.32"
"2017/03/01","07:24","4.604","-","4.41"
"2017/03/01","07:30","4.7","-","4.47"
"2017/03/01","07:36","4.794","-","4.56"
"2017/03/01","07:42","4.883","-","4.61"
"2017/03/01","07:48","4.968","-","4.65"
"2017/03/01","07:54","5.05","-","4.71"
"2017/03/01","08:00","5.127","-","4.79"
"2017/03/01","08:06","5.199","-","4.88"
"2017/03/01","08:12","5.267","-","5.02"
"2017/03/01","08:18","5.33","-","5.09"
"2017/03/01","08:24","5.388","-","5.15"
"2017/03/01","08:30","5.441","-","5.2"
"2017/03/01","08:36","5.488","-","5.26"
"2017/03/01","08:42","5.529","-","5.3"
"2017/03/01","08:48","5.565","-","5.32"
"2017/03/01","08:54","5.594","-","5.35"
"2017/03/01","09:00","5.618","-","5.43"
"2017/03/01","09:06","5.634","-","5.42"
"2017/03/01","09:12","5.645","-","5.43"
"2017/03/01","09:18","5.648","-","5.47"
"2017/03/01","09:24","5.645","-","5.48"
"2017/03/01","09:30","5.635","-","5.48"
"2017/03/01","09:36","5.618","-","5.45"
"2017/03/01","09:42","5.594","-","5.44"
"2017/03/01","09:48","5.562","-","5.41"
"2017/03/01","09:54","5.524","-","5.43"
"2017/03/01","10:00","5.479","-","5.41"
"2017/03/01","10:06","5.427","-","5.35"
"2017/03/01","10:12","5.368","-","5.29"
"2017/03/01","10:18","5.303","-","5.21"
"2017/03/01","10:24","5.231","-","5.12"
"2017/03/01","10:30","5.153","-","5.04"
"2017/03/01","10:36","5.069","-","5.01"
"2017/03/01","10:42","4.979","-","4.99"
"2017/03/01","10:48","4.884","-","4.92"
"2017/03/01","10:54","4.783","-","4.82"
"2017/03/01","11:00","4.678","-","4.73"
"2017/03/01","11:06","4.568","-","4.58"
"2017/03/01","11:12","4.453","-","4.48"
"2017/03/01","11:18","4.335","-","4.41"
"2017/03/01","11:24","4.214","-","4.32"
"2017/03/01","11:30","4.089","-","4.23"
"2017/03/01","11:36","3.962","-","4.1"
"2017/03/01","11:42","3.832","-","3.94"
"2017/03/01","11:48","3.701","-","3.76"
"2017/03/01","11:54","3.568","-","3.65"
"2017/03/01","12:00","3.435","-","3.5"
"2017/03/01","12:06","3.301","-","3.4"
"2017/03/01","12:12","3.166","-","3.23"
"2017/03/01","12:18","3.032","-","3.09"
"2017/03/01","12:24","2.899","-","2.93"
"2017/03/01","12:30","2.768","-","2.78"
"2017/03/01","12:36","2.638","-","2.63"
"2017/03/01","12:42","2.51","-","2.5"
"2017/03/01","12:48","2.384","-","2.39"
"2017/03/01","12:54","2.261","-","2.27"
"2017/03/01","13:00","2.142","-","2.12"
"2017/03/01","13:06","2.026","-","2.04"
"2017/03/01","13:12","1.915","-","1.97"
"2017/03/01","13:18","1.807","-","1.92"
"2017/03/01","13:24","1.705","-","1.85"
"2017/03/01","13:30","1.607","-","1.84"
"2017/03/01","13:36","1.515","-","1.76"
"2017/03/01","13:42","1.428","-","1.68"
"2017/03/01","13:48","1.347","-","1.64"
"2017/03/01","13:54","1.272","-","1.58"
"2017/03/01","14:00","1.203","-","1.52"
"2017/03/01","14:06","1.141","-","1.48"
"2017/03/01","14:12","1.085","-","1.48"
"2017/03/01","14:18","1.035","-","1.47"
"2017/03/01","14:24","0.992","-","1.47"
"2017/03/01","14:30","0.955","-","1.48"
"2017/03/01","14:36","0.925","-","1.5"
"2017/03/01","14:42","0.901","-","1.47"
"2017/03/01","14:48","0.884","-","1.41"
"2017/03/01","14:54","0.874","-","1.37"
"2017/03/01","15:00","0.869","-","1.36"
"2017/03/01","15:06","0.871","-","1.36"
"2017/03/01","15:12","0.879","-","1.42"
"2017/03/01","15:18","0.893","-","1.45"
"2017/03/01","15:24","0.912","-","1.47"
"2017/03/01","15:30","0.937","-","1.49"
"2017/03/01","15:36","0.968","-","1.51"
"2017/03/01","15:42","1.003","-","1.54"
"2017/03/01","15:48","1.044","-","1.54"
"2017/03/01","15:54","1.09","-","1.54"
"2017/03/01","16:00","1.14","-","1.55"
"2017/03/01","16:06","1.195","-","1.6"
"2017/03/01","16:12","1.254","-","1.68"
