"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2018/04/01","00:00","0.806","-","0.92"
"2018/04/01","00:06","0.728","-","0.79"
"2018/04/01","00:12","0.657","-","0.77"
"2018/04/01","00:18","0.592","-","0.7"
"2018/04/01","00:24","0.534","-","0.61"
"2018/04/01","00:30","0.483","-","0.54"
"2018/04/01","00:36","0.438","-","0.48"
"2018/04/01","00:42","0.4","-","0.47"
"2018/04/01","00:48","0.369","-","0.44"
"2018/04/01","00:54","0.345","-","0.46"
"2018/04/01","01:00","0.327","-","0.44"
"2018/04/01","01:06","0.316","-","0.4"
"2018/04/01","01:12","0.312","-","0.37"
"2018/04/01","01:18","0.314","-","0.42"
"2018/04/01","01:24","0.322","-","0.44"
"2018/04/01","01:30","0.337","-","0.43"
"2018/04/01","01:36","0.359","-","0.44"
"2018/04/01","01:42","0.386","-","0.5"
"2018/04/01","01:48","0.42","-","0.57"
"2018/04/01","01:54","0.46","-","0.64"
"2018/04/01","02:00","0.505","-","0.73"
"2018/04/01","02:06","0.556","-","0.77"
"2018/04/01","02:12","0.613","-","0.85"
"2018/04/01","02:18","0.675","-","0.93"
"2018/04/01","02:24","0.742","-","0.98"
"2018/04/01","02:30","0.814","-","1.07"
"2018/04/01","02:36","0.892","-","1.14"
"2018/04/01","02:42","0.973","-","1.25"
"2018/04/01","02:48","1.059","-","1.35"
"2018/04/01","02:54","1.15","-","1.45"
"2018/04/01","03:00","1.244","-","1.54"
"2018/04/01","03:06","1.342","-","1.64"
"2018/04/01","03:12","1.443","-","1.71"
"2018/04/01","03:18","1.548","-","1.8"
"2018/04/01","03:24","1.656","-","1.87"
"2018/04/01","03:30","1.766","-","1.98"
"2018/04/01","03:36","1.879","-","2.09"
"2018/04/01","03:42","1.993","-","2.18"
"2018/04/01","03:48","2.11","-","2.35"
"2018/04/01","03:54","2.229","-","2.47"
"2018/04/01","04:00","2.348","-","2.6"
"2018/04/01","04:06","2.469","-","2.72"
"2018/04/01","04:12","2.591","-","2.8"
"2018/04/01","04:18","2.714","-","2.93"
"2018/04/01","04:24","2.837","-","3.05"
"2018/04/01","04:30","2.96","-","3.14"
"2018/04/01","04:36","3.083","-","3.29"
"2018/04/01","04:42","3.206","-","3.42"
"2018/04/01","04:48","3.329","-","3.55"
"2018/04/01","04:54","3.451","-","3.68"
"2018/04/01","05:00","3.573","-","3.8"
"2018/04/01","05:06","3.693","-","3.89"
"2018/04/01","05:12","3.813","-","3.98"
"2018/04/01","05:18","3.931","-","4.1"
"2018/04/01","05:24","4.048","-","4.2"
"2018/04/01","05:30","4.163","-","4.32"
"2018/04/01","05:36","4.276","-","4.44"
"2018/04/01","05:42","4.387","-","4.53"
"2018/04/01","05:48","4.496","-","4.65"
"2018/04/01","05:54","4.602","-","4.76"
"2018/04/01","06:00","4.706","-","4.88"
"2018/04/01","06:06","4.806","-","4.96"
"2018/04/01","06:12","4.903","-","5.03"
