"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2017/02/01","00:00","3.536","-","3.72"
"2017/02/01","00:06","3.403","-","3.61"
"2017/02/01","00:12","3.269","-","3.48"
"2017/02/01","00:18","3.132","-","3.33"
"2017/02/01","00:24","2.995","-","3.15"
"2017/02/01","00:30","2.856","-","3.03"
"2017/02/01","00:36","2.717","-","2.87"
"2017/02/01","00:42","2.578","-","2.76"
"2017/02/01","00:48","2.439","-","2.61"
"2017/02/01","00:54","2.301","-","2.44"
"2017/02/01","01:00","2.163","-","2.29"
"2017/02/01","01:06","2.028","-","2.2"
"2017/02/01","01:12","1.894","-","2.09"
"2017/02/01","01:18","1.762","-","1.95"
"2017/02/01","01:24","1.633","-","1.84"
"2017/02/01","01:30","1.507","-","1.66"
"2017/02/01","01:36","1.384","-","1.55"
"2017/02/01","01:42","1.265","-","1.46"
"2017/02/01","01:48","1.15","-","1.39"
"2017/02/01","01:54","1.039","-","1.38"
"2017/02/01","02:00","0.933","-","1.31"
"2017/02/01","02:06","0.832","-","1.25"
"2017/02/01","02:12","0.736","-","1.16"
"2017/02/01","02:18","0.646","-","1.03"
"2017/02/01","02:24","0.562","-","0.98"
"2017/02/01","02:30","0.483","-","0.98"
"2017/02/01","02:36","0.411","-","0.91"
"2017/02/01","02:42","0.345","-","0.84"
"2017/02/01","02:48","0.285","-","0.83"
"2017/02/01","02:54","0.232","-","0.75"
"2017/02/01","03:00","0.185","-","0.71"
"2017/02/01","03:06","0.146","-","0.68"
"2017/02/01","03:12","0.112","-","0.68"
"2017/02/01","03:18","0.086","-","0.68"
"2017/02/01","03:24","0.066","-","0.63"
"2017/02/01","03:30","0.053","-","0.63"
"2017/02/01","03:36","0.047","-","0.58"
"2017/02/01","03:42","0.047","-","0.59"
"2017/02/01","03:48","0.053","-","0.64"
"2017/02/01","03:54","0.065","-","0.7"
"2017/02/01","04:00","0.084","-","0.74"
"2017/02/01","04:06","0.108","-","0.75"
"2017/02/01","04:12","0.139","-","0.8"
"2017/02/01","04:18","0.174","-","0.82"
"2017/02/01","04:24","0.216","-","0.83"
"2017/02/01","04:30","0.262","-","0.92"
"2017/02/01","04:36","0.314","-","0.94"
"2017/02/01","04:42","0.37","-","0.94"
"2017/02/01","04:48","0.432","-","1.02"
"2017/02/01","04:54","0.497","-","1.06"
"2017/02/01","05:00","0.567","-","1.19"
"2017/02/01","05:06","0.642","-","1.26"
"2017/02/01","05:12","0.72","-","1.32"
"2017/02/01","05:18","0.802","-","1.39"
"2017/02/01","05:24","0.888","-","1.41"
"2017/02/01","05:30","0.977","-","1.48"
"2017/02/01","05:36","1.07","-","1.59"
"2017/02/01","05:42","1.166","-","1.71"
"2017/02/01","05:48","1.265","-","1.79"
"2017/02/01","05:54","1.366","-","1.91"
"2017/02/01","06:00","1.47","-","1.97"
"2017/02/01","06:06","1.577","-","2.09"
"2017/02/01","06:12","1.686","-","2.12"
"2017/02/01","06:18","1.797","-","2.24"
"2017/02/01","06:24","1.91","-","2.34"
"2017/02/01","06:30","2.024","-","2.5"
"2017/02/01","06:36","2.14","-","2.67"
"2017/02/01","06:42","2.257","-","2.71"
"2017/02/01","06:48","2.375","-","2.81"
"2017/02/01","06:54","2.493","-","2.87"
"2017/02/01","07:00","2.612","-","2.97"
"2017/02/01","07:06","2.731","-","3.12"
"2017/02/01","07:12","2.85","-","3.26"
"2017/02/01","07:18","2.969","-","3.33"
"2017/02/01","07:24","3.087","-","3.35"
"2017/02/01","07:30","3.205","-","3.45"
"2017/02/01","07:36","3.321","-","3.62"
"2017/02/01","07:42","3.436","-","3.71"
"2017/02/01","07:48","3.55","-","3.79"
"2017/02/01","07:54","3.662","-","3.88"
"2017/02/01","08:00","3.772","-","4"
"2017/02/01","08:06","3.881","-","4.14"
"2017/02/01","08:12","3.987","-","4.23"
"2017/02/01","08:18","4.09","-","4.36"
"2017/02/01","08:24","4.191","-","4.43"
"2017/02/01","08:30","4.29","-","4.55"
"2017/02/01","08:36","4.385","-","4.67"
"2017/02/01","08:42","4.478","-","4.73"
"2017/02/01","08:48","4.567","-","4.76"
"2017/02/01","08:54","4.653","-","4.81"
"2017/02/01","09:00","4.735","-","4.91"
"2017/02/01","09:06","4.814","-","4.97"
"2017/02/01","09:12","4.889","-","5.07"
"2017/02/01","09:18","4.961","-","5.15"
"2017/02/01","09:24","5.028","-","5.2"
"2017/02/01","09:30","5.091","-","5.26"
"2017/02/01","09:36","5.149","-","5.33"
"2017/02/01","09:42","5.203","-","5.42"
"2017/02/01","09:48","5.252","-","5.49"
"2017/02/01","09:54","5.297","-","5.53"
"2017/02/01","10:00","5.336","-","5.55"
"2017/02/01","10:06","5.37","-","5.58"
"2017/02/01","10:12","5.399","-","5.63"
"2017/02/01","10:18","5.423","-","5.65"
"2017/02/01","10:24","5.44","-","5.65"
"2017/02/01","10:30","5.453","-","5.68"
"2017/02/01","10:36","5.459","-","5.66"
"2017/02/01","10:42","5.459","-","5.72"
"2017/02/01","10:48","5.454","-","5.76"
"2017/02/01","10:54","5.442","-","5.76"
"2017/02/01","11:00","5.425","-","5.73"
"2017/02/01","11:06","5.402","-","5.67"
"2017/02/01","11:12","5.372","-","5.63"
"2017/02/01","11:18","5.337","-","5.59"
"2017/02/01","11:24","5.296","-","5.59"
"2017/02/01","11:30","5.25","-","5.61"
"2017/02/01","11:36","5.197","-","5.62"
"2017/02/01","11:42","5.14","-","5.53"
"2017/02/01","11:48","5.077","-","5.4"
"2017/02/01","11:54","5.01","-","5.33"
