"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2018/03/01","13:30","1.933","-","2.22"
"2018/03/01","13:36","1.999","-","2.35"
"2018/03/01","13:42","2.071","-","2.4"
"2018/03/01","13:48","2.147","-","2.52"
"2018/03/01","13:54","2.227","-","2.59"
"2018/03/01","14:00","2.313","-","2.72"
"2018/03/01","14:06","2.402","-","2.88"
"2018/03/01","14:12","2.495","-","2.95"
"2018/03/01","14:18","2.592","-","3.04"
"2018/03/01","14:24","2.692","-","3.11"
"2018/03/01","14:30","2.795","-","3.26"
"2018/03/01","14:36","2.901","-","3.28"
"2018/03/01","14:42","3.01","-","3.33"
"2018/03/01","14:48","3.12","-","3.46"
"2018/03/01","14:54","3.233","-","3.65"
"2018/03/01","15:00","3.347","-","3.75"
"2018/03/01","15:06","3.463","-","3.9"
"2018/03/01","15:12","3.58","-","4"
"2018/03/01","15:18","3.698","-","4.09"
"2018/03/01","15:24","3.816","-","4.19"
"2018/03/01","15:30","3.934","-","4.27"
"2018/03/01","15:36","4.053","-","4.44"
"2018/03/01","15:42","4.171","-","4.52"
"2018/03/01","15:48","4.289","-","4.61"
"2018/03/01","15:54","4.406","-","4.77"
"2018/03/01","16:00","4.523","-","4.93"
"2018/03/01","16:06","4.638","-","4.98"
"2018/03/01","16:12","4.752","-","5.08"
"2018/03/01","16:18","4.864","-","5.19"
"2018/03/01","16:24","4.974","-","5.29"
"2018/03/01","16:30","5.082","-","5.4"
"2018/03/01","16:36","5.189","-","5.58"
"2018/03/01","16:42","5.292","-","5.73"
"2018/03/01","16:48","5.393","-","5.75"
"2018/03/01","16:54","5.491","-","5.92"
"2018/03/01","17:00","5.586","-","6.05"
"2018/03/01","17:06","5.677","-","6.14"
"2018/03/01","17:12","5.765","-","6.25"
"2018/03/01","17:18","5.848","-","6.27"
"2018/03/01","17:24","5.928","-","6.46"
"2018/03/01","17:30","6.002","-","6.54"
"2018/03/01","17:36","6.072","-","6.62"
"2018/03/01","17:42","6.137","-","6.58"
"2018/03/01","17:48","6.196","-","6.58"
"2018/03/01","17:54","6.249","-","6.7"
"2018/03/01","18:00","6.297","-","6.72"
"2018/03/01","18:06","6.338","-","6.83"
"2018/03/01","18:12","6.372","-","6.75"
"2018/03/01","18:18","6.4","-","6.93"
"2018/03/01","18:24","6.42","-","6.87"
"2018/03/01","18:30","6.433","-","6.97"
"2018/03/01","18:36","6.438","-","6.93"
"2018/03/01","18:42","6.436","-","7.04"
"2018/03/01","18:48","6.425","-","6.93"
"2018/03/01","18:54","6.407","-","6.77"
"2018/03/01","19:00","6.38","-","6.79"
"2018/03/01","19:06","6.345","-","6.73"
"2018/03/01","19:12","6.302","-","6.68"
"2018/03/01","19:18","6.25","-","6.66"
"2018/03/01","19:24","6.19","-","6.64"
"2018/03/01","19:30","6.122","-","6.52"
"2018/03/01","19:36","6.045","-","6.46"
"2018/03/01","19:42","5.96","-","6.38"
"2018/03/01","19:48","5.868","-","6.2"
"2018/03/01","19:54","5.767","-","6.14"
"2018/03/01","20:00","5.659","-","6.06"
"2018/03/01","20:06","5.543","-","5.9"
"2018/03/01","20:12","5.42","-","5.78"
"2018/03/01","20:18","5.291","-","5.62"
"2018/03/01","20:24","5.154","-","5.44"
"2018/03/01","20:30","5.012","-","5.35"
"2018/03/01","20:36","4.863","-","5.22"
"2018/03/01","20:42","4.709","-","5.06"
"2018/03/01","20:48","4.55","-","4.87"
"2018/03/01","20:54","4.386","-","4.68"
"2018/03/01","21:00","4.217","-","4.53"
"2018/03/01","21:06","4.045","-","4.33"
"2018/03/01","21:12","3.869","-","4.21"
"2018/03/01","21:18","3.69","-","4"
