"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2018/08/01","00:00","4.441","-","4.54"
"2018/08/01","00:06","4.372","-","4.51"
"2018/08/01","00:12","4.301","-","4.45"
"2018/08/01","00:18","4.228","-","4.4"
"2018/08/01","00:24","4.153","-","4.32"
"2018/08/01","00:30","4.077","-","4.26"
"2018/08/01","00:36","4","-","4.17"
"2018/08/01","00:42","3.923","-","4.09"
"2018/08/01","00:48","3.846","-","3.99"
"2018/08/01","00:54","3.768","-","3.92"
"2018/08/01","01:00","3.69","-","3.84"
"2018/08/01","01:06","3.614","-","3.8"
"2018/08/01","01:12","3.538","-","3.74"
"2018/08/01","01:18","3.463","-","3.66"
"2018/08/01","01:24","3.389","-","3.56"
"2018/08/01","01:30","3.317","-","3.45"
"2018/08/01","01:36","3.247","-","3.34"
"2018/08/01","01:42","3.179","-","3.27"
"2018/08/01","01:48","3.113","-","3.18"
"2018/08/01","01:54","3.05","-","3.1"
"2018/08/01","02:00","2.99","-","3.04"
"2018/08/01","02:06","2.933","-","2.97"
"2018/08/01","02:12","2.879","-","2.9"
"2018/08/01","02:18","2.828","-","2.86"
"2018/08/01","02:24","2.781","-","2.86"
"2018/08/01","02:30","2.738","-","2.78"
"2018/08/01","02:36","2.698","-","2.69"
"2018/08/01","02:42","2.663","-","2.66"
"2018/08/01","02:48","2.631","-","2.65"
"2018/08/01","02:54","2.603","-","2.63"
"2018/08/01","03:00","2.579","-","2.58"
"2018/08/01","03:06","2.56","-","2.57"
"2018/08/01","03:12","2.544","-","2.52"
"2018/08/01","03:18","2.532","-","2.48"
"2018/08/01","03:24","2.525","-","2.48"
"2018/08/01","03:30","2.521","-","2.51"
"2018/08/01","03:36","2.521","-","2.51"
"2018/08/01","03:42","2.525","-","2.54"
"2018/08/01","03:48","2.533","-","2.59"
"2018/08/01","03:54","2.544","-","2.59"
"2018/08/01","04:00","2.559","-","2.59"
"2018/08/01","04:06","2.577","-","2.6"
"2018/08/01","04:12","2.598","-","2.59"
