"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2018/01/01","00:00","-1.24","-","-0.98"
"2018/01/01","00:06","-1.242","-","-0.97"
"2018/01/01","00:12","-1.238","-","-0.99"
"2018/01/01","00:18","-1.226","-","-1.03"
"2018/01/01","00:24","-1.207","-","-1.01"
"2018/01/01","00:30","-1.182","-","-0.98"
"2018/01/01","00:36","-1.15","-","-0.93"
"2018/01/01","00:42","-1.112","-","-0.96"
"2018/01/01","00:48","-1.067","-","-0.91"
"2018/01/01","00:54","-1.017","-","-0.84"
"2018/01/01","01:00","-0.961","-","-0.82"
"2018/01/01","01:06","-0.899","-","-0.73"
"2018/01/01","01:12","-0.831","-","-0.67"
"2018/01/01","01:18","-0.759","-","-0.54"
"2018/01/01","01:24","-0.681","-","-0.49"
"2018/01/01","01:30","-0.599","-","-0.45"
"2018/01/01","01:36","-0.512","-","-0.4"
"2018/01/01","01:42","-0.421","-","-0.32"
"2018/01/01","01:48","-0.326","-","-0.26"
"2018/01/01","01:54","-0.227","-","-0.2"
"2018/01/01","02:00","-0.124","-","-0.13"
"2018/01/01","02:06","-0.018","-","0.03"
"2018/01/01","02:12","0.091","-","0.15"
"2018/01/01","02:18","0.203","-","0.27"
"2018/01/01","02:24","0.318","-","0.41"
"2018/01/01","02:30","0.435","-","0.52"
"2018/01/01","02:36","0.554","-","0.64"
"2018/01/01","02:42","0.675","-","0.76"
"2018/01/01","02:48","0.797","-","0.88"
"2018/01/01","02:54","0.921","-","1"
"2018/01/01","03:00","1.046","-","1.13"
"2018/01/01","03:06","1.173","-","1.26"
"2018/01/01","03:12","1.3","-","1.4"
"2018/01/01","03:18","1.428","-","1.52"
"2018/01/01","03:24","1.556","-","1.67"
"2018/01/01","03:30","1.685","-","1.79"
"2018/01/01","03:36","1.814","-","1.93"
"2018/01/01","03:42","1.943","-","2.03"
"2018/01/01","03:48","2.072","-","2.18"
"2018/01/01","03:54","2.201","-","2.29"
"2018/01/01","04:00","2.329","-","2.4"
"2018/01/01","04:06","2.457","-","2.48"
"2018/01/01","04:12","2.584","-","2.59"
"2018/01/01","04:18","2.711","-","2.71"
"2018/01/01","04:24","2.836","-","2.8"
"2018/01/01","04:30","2.96","-","2.98"
"2018/01/01","04:36","3.083","-","3.17"
"2018/01/01","04:42","3.204","-","3.27"
"2018/01/01","04:48","3.324","-","3.33"
"2018/01/01","04:54","3.442","-","3.45"
"2018/01/01","05:00","3.557","-","3.54"
"2018/01/01","05:06","3.67","-","3.65"
"2018/01/01","05:12","3.78","-","3.78"
"2018/01/01","05:18","3.887","-","3.89"
"2018/01/01","05:24","3.991","-","3.96"
"2018/01/01","05:30","4.091","-","4.05"
"2018/01/01","05:36","4.188","-","4.14"
"2018/01/01","05:42","4.281","-","4.23"
"2018/01/01","05:48","4.369","-","4.29"
"2018/01/01","05:54","4.452","-","4.35"
"2018/01/01","06:00","4.531","-","4.37"
"2018/01/01","06:06","4.605","-","4.46"
"2018/01/01","06:12","4.673","-","4.44"
"2018/01/01","06:18","4.736","-","4.59"
"2018/01/01","06:24","4.793","-","4.71"
"2018/01/01","06:30","4.844","-","4.7"
"2018/01/01","06:36","4.889","-","4.79"
"2018/01/01","06:42","4.928","-","4.81"
"2018/01/01","06:48","4.96","-","4.81"
"2018/01/01","06:54","4.986","-","4.8"
"2018/01/01","07:00","5.006","-","4.87"
"2018/01/01","07:06","5.019","-","4.97"
"2018/01/01","07:12","5.026","-","4.97"
