"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2017/06/01","00:00","4.752","-","4.69"
"2017/06/01","00:06","4.821","-","4.8"
"2017/06/01","00:12","4.885","-","4.85"
"2017/06/01","00:18","4.945","-","4.92"
"2017/06/01","00:24","4.999","-","4.94"
"2017/06/01","00:30","5.049","-","4.99"
"2017/06/01","00:36","5.093","-","5.02"
"2017/06/01","00:42","5.132","-","5.15"
"2017/06/01","00:48","5.166","-","5.22"
"2017/06/01","00:54","5.194","-","5.24"
"2017/06/01","01:00","5.217","-","5.25"
"2017/06/01","01:06","5.234","-","5.24"
"2017/06/01","01:12","5.245","-","5.25"
"2017/06/01","01:18","5.252","-","5.27"
"2017/06/01","01:24","5.252","-","5.3"
"2017/06/01","01:30","5.247","-","5.26"
"2017/06/01","01:36","5.237","-","5.23"
"2017/06/01","01:42","5.222","-","5.3"
"2017/06/01","01:48","5.201","-","5.31"
"2017/06/01","01:54","5.175","-","5.25"
"2017/06/01","02:00","5.144","-","5.23"
"2017/06/01","02:06","5.109","-","5.18"
"2017/06/01","02:12","5.069","-","5.11"
"2017/06/01","02:18","5.024","-","5.09"
"2017/06/01","02:24","4.975","-","5.06"
"2017/06/01","02:30","4.922","-","5.02"
"2017/06/01","02:36","4.865","-","4.97"
"2017/06/01","02:42","4.804","-","4.99"
"2017/06/01","02:48","4.74","-","4.95"
"2017/06/01","02:54","4.672","-","4.86"
"2017/06/01","03:00","4.602","-","4.8"
"2017/06/01","03:06","4.529","-","4.71"
"2017/06/01","03:12","4.453","-","4.63"
"2017/06/01","03:18","4.375","-","4.55"
"2017/06/01","03:24","4.296","-","4.51"
"2017/06/01","03:30","4.214","-","4.44"
"2017/06/01","03:36","4.132","-","4.34"
"2017/06/01","03:42","4.048","-","4.26"
"2017/06/01","03:48","3.964","-","4.18"
"2017/06/01","03:54","3.879","-","4.1"
"2017/06/01","04:00","3.795","-","4.04"
"2017/06/01","04:06","3.71","-","3.99"
"2017/06/01","04:12","3.627","-","3.88"
"2017/06/01","04:18","3.543","-","3.8"
"2017/06/01","04:24","3.461","-","3.75"
"2017/06/01","04:30","3.381","-","3.67"
"2017/06/01","04:36","3.301","-","3.55"
"2017/06/01","04:42","3.224","-","3.47"
"2017/06/01","04:48","3.149","-","3.39"
"2017/06/01","04:54","3.075","-","3.32"
"2017/06/01","05:00","3.005","-","3.23"
"2017/06/01","05:06","2.936","-","3.16"
"2017/06/01","05:12","2.871","-","3.06"
"2017/06/01","05:18","2.808","-","2.96"
"2017/06/01","05:24","2.748","-","2.9"
"2017/06/01","05:30","2.692","-","2.82"
"2017/06/01","05:36","2.638","-","2.76"
"2017/06/01","05:42","2.588","-","2.71"
"2017/06/01","05:48","2.541","-","2.69"
"2017/06/01","05:54","2.498","-","2.66"
"2017/06/01","06:00","2.458","-","2.67"
"2017/06/01","06:06","2.422","-","2.61"
"2017/06/01","06:12","2.389","-","2.58"
"2017/06/01","06:18","2.36","-","2.56"
"2017/06/01","06:24","2.335","-","2.54"
"2017/06/01","06:30","2.314","-","2.53"
"2017/06/01","06:36","2.297","-","2.51"
"2017/06/01","06:42","2.283","-","2.51"
"2017/06/01","06:48","2.273","-","2.51"
"2017/06/01","06:54","2.268","-","2.52"
"2017/06/01","07:00","2.266","-","2.51"
"2017/06/01","07:06","2.268","-","2.51"
"2017/06/01","07:12","2.274","-","2.56"
"2017/06/01","07:18","2.284","-","2.61"
"2017/06/01","07:24","2.298","-","2.6"
"2017/06/01","07:30","2.316","-","2.6"
"2017/06/01","07:36","2.338","-","2.6"
"2017/06/01","07:42","2.363","-","2.64"
"2017/06/01","07:48","2.392","-","2.69"
"2017/06/01","07:54","2.424","-","2.77"
"2017/06/01","08:00","2.46","-","2.82"
"2017/06/01","08:06","2.499","-","2.81"
"2017/06/01","08:12","2.541","-","2.82"
"2017/06/01","08:18","2.586","-","2.85"
"2017/06/01","08:24","2.633","-","2.87"
"2017/06/01","08:30","2.684","-","2.91"
"2017/06/01","08:36","2.736","-","3"
"2017/06/01","08:42","2.791","-","3.06"
"2017/06/01","08:48","2.847","-","3.07"
"2017/06/01","08:54","2.906","-","3.12"
"2017/06/01","09:00","2.966","-","3.18"
"2017/06/01","09:06","3.027","-","3.26"
"2017/06/01","09:12","3.089","-","3.33"
"2017/06/01","09:18","3.152","-","3.37"
"2017/06/01","09:24","3.216","-","3.44"
"2017/06/01","09:30","3.28","-","3.45"
"2017/06/01","09:36","3.344","-","3.53"
"2017/06/01","09:42","3.409","-","3.6"
"2017/06/01","09:48","3.474","-","3.68"
"2017/06/01","09:54","3.538","-","3.71"
"2017/06/01","10:00","3.602","-","3.78"
"2017/06/01","10:06","3.666","-","3.88"
"2017/06/01","10:12","3.729","-","3.95"
"2017/06/01","10:18","3.791","-","3.98"
"2017/06/01","10:24","3.852","-","4.02"
"2017/06/01","10:30","3.912","-","4.03"
"2017/06/01","10:36","3.971","-","4.07"
"2017/06/01","10:42","4.028","-","4.08"
"2017/06/01","10:48","4.084","-","4.12"
"2017/06/01","10:54","4.138","-","4.18"
"2017/06/01","11:00","4.19","-","4.22"
"2017/06/01","11:06","4.24","-","4.3"
"2017/06/01","11:12","4.288","-","4.37"
"2017/06/01","11:18","4.333","-","4.34"
"2017/06/01","11:24","4.375","-","4.38"
"2017/06/01","11:30","4.415","-","4.43"
"2017/06/01","11:36","4.451","-","4.51"
"2017/06/01","11:42","4.485","-","4.61"
"2017/06/01","11:48","4.515","-","4.62"
"2017/06/01","11:54","4.541","-","4.62"
"2017/06/01","12:00","4.563","-","4.64"
"2017/06/01","12:06","4.581","-","4.63"
"2017/06/01","12:12","4.595","-","4.7"
"2017/06/01","12:18","4.605","-","4.69"
"2017/06/01","12:24","4.61","-","4.72"
"2017/06/01","12:30","4.611","-","4.72"
"2017/06/01","12:36","4.607","-","4.74"
"2017/06/01","12:42","4.598","-","4.69"
"2017/06/01","12:48","4.583","-","4.67"
"2017/06/01","12:54","4.564","-","4.67"
"2017/06/01","13:00","4.54","-","4.67"
"2017/06/01","13:06","4.511","-","4.62"
"2017/06/01","13:12","4.477","-","4.61"
"2017/06/01","13:18","4.438","-","4.53"
"2017/06/01","13:24","4.393","-","4.52"
"2017/06/01","13:30","4.344","-","4.48"
"2017/06/01","13:36","4.29","-","4.44"
"2017/06/01","13:42","4.231","-","4.39"
"2017/06/01","13:48","4.168","-","4.36"
"2017/06/01","13:54","4.1","-","4.26"
"2017/06/01","14:00","4.028","-","4.18"
"2017/06/01","14:06","3.951","-","4.13"
"2017/06/01","14:12","3.871","-","4.07"
"2017/06/01","14:18","3.786","-","4.02"
"2017/06/01","14:24","3.698","-","3.97"
"2017/06/01","14:30","3.607","-","3.91"
"2017/06/01","14:36","3.512","-","3.81"
"2017/06/01","14:42","3.415","-","3.67"
"2017/06/01","14:48","3.314","-","3.63"
"2017/06/01","14:54","3.212","-","3.52"
"2017/06/01","15:00","3.107","-","3.38"
"2017/06/01","15:06","2.999","-","3.29"
"2017/06/01","15:12","2.891","-","3.22"
"2017/06/01","15:18","2.78","-","3.08"
"2017/06/01","15:24","2.669","-","2.95"
"2017/06/01","15:30","2.557","-","2.81"
