"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2017/04/01","00:00","4.192","-","4.14"
"2017/04/01","00:06","4.118","-","4.06"
"2017/04/01","00:12","4.04","-","4.02"
"2017/04/01","00:18","3.959","-","3.94"
"2017/04/01","00:24","3.876","-","3.91"
"2017/04/01","00:30","3.79","-","3.81"
"2017/04/01","00:36","3.702","-","3.71"
"2017/04/01","00:42","3.612","-","3.66"
"2017/04/01","00:48","3.521","-","3.62"
"2017/04/01","00:54","3.429","-","3.58"
"2017/04/01","01:00","3.337","-","3.47"
"2017/04/01","01:06","3.244","-","3.36"
"2017/04/01","01:12","3.151","-","3.24"
"2017/04/01","01:18","3.059","-","3.15"
"2017/04/01","01:24","2.967","-","3.07"
"2017/04/01","01:30","2.876","-","2.96"
"2017/04/01","01:36","2.788","-","2.94"
"2017/04/01","01:42","2.7","-","2.82"
"2017/04/01","01:48","2.615","-","2.67"
"2017/04/01","01:54","2.533","-","2.56"
"2017/04/01","02:00","2.454","-","2.49"
"2017/04/01","02:06","2.377","-","2.41"
"2017/04/01","02:12","2.304","-","2.37"
"2017/04/01","02:18","2.235","-","2.34"
"2017/04/01","02:24","2.17","-","2.33"
"2017/04/01","02:30","2.109","-","2.31"
"2017/04/01","02:36","2.053","-","2.29"
"2017/04/01","02:42","2.001","-","2.22"
"2017/04/01","02:48","1.954","-","2.15"
"2017/04/01","02:54","1.912","-","2.14"
"2017/04/01","03:00","1.875","-","2.06"
"2017/04/01","03:06","1.843","-","2.12"
"2017/04/01","03:12","1.817","-","2.11"
"2017/04/01","03:18","1.796","-","2.11"
"2017/04/01","03:24","1.78","-","2.09"
"2017/04/01","03:30","1.77","-","2.12"
"2017/04/01","03:36","1.765","-","2.15"
"2017/04/01","03:42","1.765","-","2.16"
"2017/04/01","03:48","1.771","-","2.15"
"2017/04/01","03:54","1.782","-","2.2"
"2017/04/01","04:00","1.797","-","2.19"
"2017/04/01","04:06","1.818","-","2.26"
"2017/04/01","04:12","1.844","-","2.28"
"2017/04/01","04:18","1.874","-","2.29"
"2017/04/01","04:24","1.909","-","2.32"
"2017/04/01","04:30","1.949","-","2.32"
"2017/04/01","04:36","1.993","-","2.37"
"2017/04/01","04:42","2.041","-","2.46"
"2017/04/01","04:48","2.093","-","2.49"
"2017/04/01","04:54","2.149","-","2.51"
"2017/04/01","05:00","2.209","-","2.57"
"2017/04/01","05:06","2.273","-","2.66"
"2017/04/01","05:12","2.34","-","2.74"
