"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2018/12/01","00:00","4.221","-","4.52"
"2018/12/01","00:06","4.273","-","4.53"
"2018/12/01","00:12","4.323","-","4.51"
"2018/12/01","00:18","4.371","-","4.58"
"2018/12/01","00:24","4.415","-","4.6"
"2018/12/01","00:30","4.457","-","4.63"
"2018/12/01","00:36","4.496","-","4.72"
"2018/12/01","00:42","4.532","-","4.75"
"2018/12/01","00:48","4.564","-","4.78"
"2018/12/01","00:54","4.593","-","4.79"
"2018/12/01","01:00","4.618","-","4.85"
"2018/12/01","01:06","4.639","-","4.86"
"2018/12/01","01:12","4.656","-","4.89"
"2018/12/01","01:18","4.668","-","4.89"
"2018/12/01","01:24","4.676","-","4.9"
"2018/12/01","01:30","4.679","-","4.95"
"2018/12/01","01:36","4.678","-","4.94"
"2018/12/01","01:42","4.672","-","4.96"
"2018/12/01","01:48","4.661","-","4.97"
"2018/12/01","01:54","4.645","-","4.93"
"2018/12/01","02:00","4.624","-","4.94"
"2018/12/01","02:06","4.597","-","4.91"
"2018/12/01","02:12","4.566","-","4.89"
"2018/12/01","02:18","4.53","-","4.79"
"2018/12/01","02:24","4.489","-","4.78"
"2018/12/01","02:30","4.443","-","4.73"
"2018/12/01","02:36","4.392","-","4.68"
"2018/12/01","02:42","4.336","-","4.65"
"2018/12/01","02:48","4.275","-","4.64"
"2018/12/01","02:54","4.21","-","4.54"
"2018/12/01","03:00","4.141","-","4.49"
"2018/12/01","03:06","4.067","-","4.47"
"2018/12/01","03:12","3.989","-","4.36"
"2018/12/01","03:18","3.908","-","4.26"
"2018/12/01","03:24","3.822","-","4.15"
"2018/12/01","03:30","3.734","-","4.03"
"2018/12/01","03:36","3.642","-","3.93"
"2018/12/01","03:42","3.547","-","3.84"
"2018/12/01","03:48","3.449","-","3.76"
"2018/12/01","03:54","3.349","-","3.67"
"2018/12/01","04:00","3.246","-","3.52"
"2018/12/01","04:06","3.142","-","3.44"
