DaysBeforeAfterRelationship,NumberOfTimelinePosts
-99.9505496379324,1.6145418168176702
-98.83194834426544,1.6211733945684177
-97.86078870485522,1.6247520092762058
-96.6495011386846,1.6184479785980348
-95.55714074596156,1.6174172132731592
-95.0181602191731,1.614799527095388
-93.88932781611287,1.6244185887889777
-92.90870440051384,1.6307606261438947
-91.84410062864484,1.6216249275296417
-90.3301806359203,1.6236895654052088
-89.36987734036629,1.624098127706981
-88.69680296777959,1.6206358445022944
-87.60245319267452,1.6201859788329713
-86.48783066377166,1.6256557572726136
-84.70505985198994,1.6262248343128674
-84.862647356395,1.6202092830265895
-83.21448465252394,1.6271870782712348
-81.80496663521548,1.6330520536110131
-80.88658246842566,1.6212202303136403
-79.88379164914114,1.6340351495447156
-78.81776688985643,1.6253143792558573
-77.95778530585335,1.63642900178476
-76.87428240135506,1.6328118498982571
-75.92608591858311,1.6296852228676662
-74.68586704862808,1.6318291328945322
-73.17914672547661,1.631791467254766
-71.81461987639305,1.6302333071871649
-70.55922486083796,1.6368086517292468
-69.46298043584527,1.6369120238271169
-68.88762263121399,1.6449165027794512
-67.82827651278319,1.6342455693612377
-66.41979378630623,1.645522525492514
-64.9157070264986,1.6447158593563493
-63.97413234508395,1.6396556663294188
-62.87073561676537,1.6418475109984425
-61.789079995907564,1.6376909522889265
-60.81519206065912,1.6420662293814725
-59.84630600111406,1.644980958768629
-58.53001693817001,1.637337365148294
-56.85422753229431,1.638667871663995
-55.6242681914809,1.637815999181511
-54.921163618174994,1.6431225345868337
-53.790199733991166,1.6533639887685154
-52.45110855964926,1.6443786116763481
-51.48976320665706,1.6450914547500766
-50.82488319483443,1.6392364182022803
-49.830049905078056,1.649727738811145
-48.859941796355464,1.652999306558141
-47.78524901383473,1.6468095990541907
-46.815283003853715,1.6500396739686471
-45.89149908488411,1.6397845783077745
-44.78099741948686,1.6440510646037718
-43.795211082943986,1.65190067487429
-42.85200700262598,1.6473162663271452
-41.683407251745386,1.6514045364414252
-40.10130692949251,1.650520687682123
-38.744642877442686,1.646666590880671
-37.89475030409132,1.6548352222992713
-36.83426739572795,1.6444962315413734
-35.70827696749919,1.6532854365841736
-34.87969920538383,1.6552301431218523
-33.793354326054086,1.652442847886139
-32.68583673422988,1.6558379846988074
-31.512271647322283,1.6545189900758237
-30.49808450896359,1.654661634476565
-29.828609971163427,1.6501481995142115
-28.84377095956439,1.6577211909011333
-27.76183114122341,1.6536476178566961
-26.770038764536707,1.663250991849216
-25.856287016722174,1.6500665022110563
-24.476697701031824,1.6529065823926397
-23.515636545522757,1.653536439801289
-22.853314311048457,1.6469345322677822
-21.692935987358904,1.6657650027851352
-20.891499084884106,1.6597845783077743
-19.786112974183492,1.6625573226323507
-18.71241488285381,1.656077165300624
-17.737333318176134,1.6608009821865017
-16.806586560869412,1.6525790353200631
-15.80611668769729,1.664716238286327
-14.868786022030982,1.6584167926608842
-13.75785806040902,1.6628077574545
-12.818443279866322,1.6571168733729693
-11.824888878784101,1.6672347584889786
-10.474950833835422,1.6614166676139914
-8.834562961110429,1.6604099264496912
-8.843230984346398,1.6578788636647832
-7.603229999128459,1.6599591513484222
-6.965822410676736,1.6460821671763273
-5.563165732604276,1.6556579171734853
-3.9197464200590346,1.655536356436694
-2.832312117043891,1.6530671729171165
-1.915869966388911,1.6406682809083708
-0.8336459505647937,1.6366776935290126
-0.027851353348424368,1.5919697159161958
1.076966362385896,1.5945764889106142
2.0876010322052565,1.6096818124978685
3.2978275944388216,1.6030679686700695
4.392840497004563,1.602811736219264
5.056441620153031,1.5965832641786124
6.008787386178902,1.594668227858174
7.3707564579141405,1.5923631968048624
8.877988336535289,1.592474905362238
9.934861936862688,1.5810819966578376
10.931371991769637,1.5920629326906681
12.009190946604981,1.5867860675025862
12.945763752316203,1.5802653267702662
13.878215694521813,1.5725412938943013
14.981754521581948,1.5747746313958644
16.084346023698274,1.576731350013831
17.177748473859523,1.5760048654609116
18.02622005979515,1.583758568554117
18.943467436652384,1.5715948025964281
19.927927518273904,1.5790571464299112
20.961980060704576,1.5610004888196711
21.81102004160651,1.5689201632430343
23.207755938780068,1.5767670452177143
24.300874191458163,1.575957574999716
24.95958711789649,1.5683017495197062
26.060719739599307,1.5698324750569344
26.857041087377482,1.5623583086081523
27.84083804153829,1.5696270192231179
28.90970477565449,1.561736105585049
29.883137994929925,1.5659786056134688
30.8197960598861,1.5594827605806725
31.922766491979942,1.5615501267520775
32.86118658133162,1.5555687928427706
33.841952095672255,1.5619523230302272
34.90584537383337,1.5526091602532768
35.736838814555455,1.5552592449441267
36.85430331828982,1.5615588800345586
37.92501733604648,1.5542073732195028
39.06019681623033,1.565679781433189
40.15767276365,1.5661427580797345
40.94134732342812,1.5549757295349391
41.89298259574612,1.5528532290518036
42.86834835790695,1.55766003160276
43.952561756113084,1.5542503438789546
45.18342105562314,1.5536612593358874
45.87743130946832,1.5563122534586833
46.81528300385372,1.5501649482192186
47.81921061307081,1.5633118101106096
48.86065229006333,1.5474127797924222
49.83914422453874,1.553132424659247
50.76974888310389,1.544868984960269
51.90639671695068,1.55677015244353
52.83594984482818,1.5481996657837598
53.81123034774403,1.5529815726351928
54.88080757556811,1.5452981231598213
55.848215808200806,1.5477813270885672
