"date","numeric_date","percent","tag"
2008-10-01,2008.75017111567,0.132710673492991,"matlab"
2008-11-01,2008.83504449008,0.0916478588993898,"matlab"
2008-12-01,2008.91718001369,0.110140325840739,"matlab"
2009-01-01,2009,0.128107494703647,"matlab"
2009-02-01,2009.0848733744,0.139163825343204,"matlab"
2009-03-01,2009.16153319644,0.124392112324416,"matlab"
2009-04-01,2009.24640657084,0.151074844232753,"matlab"
2009-05-01,2009.32854209446,0.161077581627119,"matlab"
2009-06-01,2009.41341546886,0.147227830266608,"matlab"
2009-07-01,2009.49555099247,0.119612191818235,"matlab"
2009-08-01,2009.58042436687,0.115305067912867,"matlab"
2009-09-01,2009.66529774127,0.160719151899151,"matlab"
2009-10-01,2009.74743326489,0.209801230570378,"matlab"
2009-11-01,2009.83230663929,0.292071798307841,"matlab"
2009-12-01,2009.9144421629,0.258253202214064,"matlab"
2010-01-01,2010,0.211642111547556,"matlab"
2010-02-01,2010.0848733744,0.242559406551947,"matlab"
2010-03-01,2010.16153319644,0.259177385752093,"matlab"
2010-04-01,2010.24640657084,0.372618289237263,"matlab"
2010-05-01,2010.32854209446,0.370737284438375,"matlab"
2010-06-01,2010.41341546886,0.264103194606771,"matlab"
2010-07-01,2010.49555099247,0.245486537167819,"matlab"
2010-08-01,2010.58042436687,0.239410956404993,"matlab"
2010-09-01,2010.66529774127,0.256290254324298,"matlab"
2010-10-01,2010.74743326489,0.248595227947201,"matlab"
2010-11-01,2010.83230663929,0.235915358222161,"matlab"
2010-12-01,2010.9144421629,0.250927717912895,"matlab"
2011-01-01,2011,0.220312204604599,"matlab"
2011-02-01,2011.0848733744,0.358388719693691,"matlab"
2011-03-01,2011.16153319644,0.420176841470384,"matlab"
2011-04-01,2011.24640657084,0.38399091110592,"matlab"
2011-05-01,2011.32854209446,0.311055769394949,"matlab"
2011-06-01,2011.41341546886,0.306923603035622,"matlab"
2011-07-01,2011.49555099247,0.2779360402803,"matlab"
2011-08-01,2011.58042436687,0.251810743268542,"matlab"
2011-09-01,2011.66529774127,0.280464437081339,"matlab"
2011-10-01,2011.74743326489,0.387068552812194,"matlab"
2011-11-01,2011.83230663929,0.394531517469901,"matlab"
2011-12-01,2011.9144421629,0.38685019455736,"matlab"
2012-01-01,2012,0.405401171968844,"matlab"
2012-02-01,2012.0848733744,0.445385280282535,"matlab"
2012-03-01,2012.16427104723,0.442941948851205,"matlab"
2012-04-01,2012.24914442163,0.472856593537775,"matlab"
2012-05-01,2012.33127994524,0.407540927530279,"matlab"
2012-06-01,2012.41615331964,0.39604465333848,"matlab"
2012-07-01,2012.49828884326,0.401658525249391,"matlab"
2012-08-01,2012.58316221766,0.421229119911112,"matlab"
2012-09-01,2012.66803559206,0.429267176761214,"matlab"
2012-10-01,2012.75017111567,0.508531983824939,"matlab"
2012-11-01,2012.83504449008,0.55219383869381,"matlab"
2012-12-01,2012.91718001369,0.497976820188674,"matlab"
2013-01-01,2013,0.472530921090853,"matlab"
2013-02-01,2013.0848733744,0.536602904390301,"matlab"
2013-03-01,2013.16153319644,0.577911959709299,"matlab"
2013-04-01,2013.24640657084,0.609291447320007,"matlab"
2013-05-01,2013.32854209446,0.604552628700808,"matlab"
2013-06-01,2013.41341546886,0.574539017816913,"matlab"
2013-07-01,2013.49555099247,0.558083052187945,"matlab"
2013-08-01,2013.58042436687,0.546431367421182,"matlab"
2013-09-01,2013.66529774127,0.553866851904605,"matlab"
2013-10-01,2013.74743326489,0.609254907643294,"matlab"
2013-11-01,2013.83230663929,0.66899139649975,"matlab"
2013-12-01,2013.9144421629,0.634535906231859,"matlab"
2014-01-01,2014,0.593007278183693,"matlab"
2014-02-01,2014.0848733744,0.659757285853886,"matlab"
2014-03-01,2014.16153319644,0.693878009765275,"matlab"
2014-04-01,2014.24640657084,0.724214378595684,"matlab"
2014-05-01,2014.32854209446,0.700033724718179,"matlab"
2014-06-01,2014.41341546886,0.639245565102488,"matlab"
2014-07-01,2014.49555099247,0.617803361710639,"matlab"
2014-08-01,2014.58042436687,0.577790384452161,"matlab"
2014-09-01,2014.66529774127,0.648972103312416,"matlab"
2014-10-01,2014.74743326489,0.716673831005051,"matlab"
2014-11-01,2014.83230663929,0.726036557840215,"matlab"
2014-12-01,2014.9144421629,0.644094025640985,"matlab"
2015-01-01,2015,0.633164496278384,"matlab"
2015-02-01,2015.0848733744,0.708388042361592,"matlab"
2015-03-01,2015.16153319644,0.738379200412089,"matlab"
2015-04-01,2015.24640657084,0.797178248755165,"matlab"
2015-05-01,2015.32854209446,0.741567907330638,"matlab"
2015-06-01,2015.41341546886,0.649619241212366,"matlab"
2015-07-01,2015.49555099247,0.583961516680735,"matlab"
2015-08-01,2015.58042436687,0.564645301312219,"matlab"
2015-09-01,2015.66529774127,0.549264855283957,"matlab"
2015-10-01,2015.74743326489,0.582519486436503,"matlab"
2015-11-01,2015.83230663929,0.618015759645789,"matlab"
2015-12-01,2015.9144421629,0.519580516620317,"matlab"
2016-01-01,2016,0.531518998585652,"matlab"
2016-02-01,2016.0848733744,0.576439010295865,"matlab"
2016-03-01,2016.16427104723,0.608121719547986,"matlab"
2016-04-01,2016.24914442163,0.582570284895236,"matlab"
2016-05-01,2016.33127994524,0.587977779199445,"matlab"
2016-06-01,2016.41615331964,0.537564127253782,"matlab"
2016-07-01,2016.49828884326,0.518977189414194,"matlab"
2016-08-01,2016.58316221766,0.520427406324805,"matlab"
2016-09-01,2016.66803559206,0.505049850080994,"matlab"
2016-10-01,2016.75017111567,0.502486519780599,"matlab"
