name,sname,speed,code,i1,i2,i3,i4,i5,i6,phi,nodal
1S1N.1o3,NSO3,44.496693918,CBXAZZA,3,2,-2,1,0,0,90,x
2M.1q3,2MQ3,44.569547422,CBZYZZA,3,2,0,-1,0,0,90,x
1S1p.3,SP3,44.95893128,CCVZZZY,3,3,-4,0,0,0,270,x
x1S1p.3,xSP3,44.95893128,CCVZZZZ,3,3,-4,0,0,0,0,x
S3,S3,44.99999991,CCWZZZB,3,3,-3,0,0,0,180,x
x1S1k.3,xSK3,45.04106854,CCXZZZZ,3,3,-2,0,0,0,0,x
1S1k.3,SK3,45.04106854,CCXZZZA,3,3,-2,0,0,0,90,x
K3,K3,45.1232058,CCZZZZZ,3,3,0,0,0,0,0,x
xK3,xK3,45.1232058,CCZZZZA,3,3,0,0,0,0,90,x
2S.1o3,2SO3,46.05696428,CEVZZZA,3,5,-4,0,0,0,90,x
4M.2S4,4M2S4,55.93641692,DVDZZZZ,4,-4,4,0,0,0,0,x
2M1N.1K4,2MNK4,56.325800778,DWZAZZZ,4,-3,0,1,0,0,0,x
3N.1M4,3NM4,56.335084534,DWZCZZZ,4,-3,0,3,0,0,0,x
2M1N.1S4,2MNS4,56.407938038,DWBAZZZ,4,-3,2,1,0,0,0,x
2M1V.1S4,2MnuS4,56.480791542,DWDYZZZ,4,-3,4,-1,0,0,0,x
3M.1K4,3MK4,56.8701754,DXZZZZZ,4,-2,0,0,0,0,0,x
1M1N1L.1K4,MNLK4,56.8701754,DXZZZZB,4,-2,0,0,0,0,180,x
N4,N4,56.879459156,DXZBZZZ,4,-2,0,2,0,0,0,x
3M.1S4,3MS4,56.95231266,DXBZZZZ,4,-2,2,0,0,0,0,x
2N1K.1S4,2NKS4,56.961596416,DXBBZZZ,4,-2,2,2,0,0,0,x
1M1S1N.1K4,MSNK4,57.341696518,DYXAZZZ,4,-1,-2,1,0,0,0,x
1M1N.4,MN4,57.423833778,DYZAZZZ,4,-1,0,1,0,0,0,x
1M1V.4,Mnu4,57.496687282,DYBYZZZ,4,-1,2,-1,0,0,0,x
2M1L.1S4,2MLS4,57.496687282,DYBYZZB,4,-1,2,-1,0,0,180,x
1M1N1K.1S4,MNKS4,57.505971038,DYBAZZZ,4,-1,2,1,0,0,0,x
2M1S.1K4,2MSK4,57.88607114,DZXZZZZ,4,0,-2,0,0,0,0,x
MA4,MA4,57.92713977,DZYZZZZ,4,0,-1,0,0,0,0,x
M4,M4,57.9682084,DZZZZZZ,4,0,0,0,0,0,0,x
2M1R.1S4,2MRS4,58.00927506875,DZAZZYB,4,0,1,0,0,-1,180,x
2M1K.1S4,2MKS4,58.05034566,DZBZZZZ,4,0,2,0,0,0,0,x
1S1N.4,SN4,58.439729518,DAXAZZZ,4,1,-2,1,0,0,0,x
3M.1N4,3MN4,58.512583022,DAZYZZZ,4,1,0,-1,0,0,0,x
1M1L.4,ML4,58.512583022,DAZYZZZ,4,1,0,-1,0,0,0,x
x1M1L.4,xML4,58.512583022,DAZYZZB,4,1,0,-1,0,0,180,x
x1N1K.4,KN4,58.521866778,DAZAZZZ,4,1,0,1,0,0,0,x
1N1K.4,NK4,58.521866778,DAZAZZZ,4,1,0,1,0,0,0,x
2S1M.1K4,2SMK4,58.90196688,DBVZZZZ,4,2,-4,0,0,0,0,x
1M1T.4,MT4,58.94303747125,DBWZZAZ,4,2,-3,0,0,1,0,x
1M1S.4,MS4,58.98410414,DBXZZZZ,4,2,-2,0,0,0,0,x
1M1R.4,MR4,59.02517080875,DBYZZYB,4,2,-1,0,0,-1,180,x
1M1K.4,MK4,59.0662414,DBZZZZZ,4,2,0,0,0,0,0,x
2S1N.1M4,2SNM4,59.455625258,DCVAZZZ,4,3,-4,1,0,0,0,x
2M1S.1N4,2MSN4,59.528478762,DCXYZZZ,4,3,-2,-1,0,0,0,x
x2M1S.1N4,x2MSN4,59.528478762,DCXYZZB,4,3,-2,-1,0,0,180,x
